Season,Episode,mean,std,var
1,1,0.018490799,0.336129183,0.112982827
1,2,0.107208599,0.414704178,0.171979555
1,3,-0.005984918,0.394645844,0.155745342
1,4,0.068927708,0.352255325,0.124083814
1,5,0.023996108,0.383214396,0.146853273
1,6,-0.015332813,0.359345704,0.129129335
1,7,0.00570973,0.349403163,0.122082571
1,8,0.050581288,0.354688129,0.125803669
1,9,0.041813761,0.373934999,0.139827384
1,10,0.010458239,0.367608681,0.135136142
1,11,0.089523656,0.351973208,0.123885139
1,12,0.041935015,0.33655495,0.113269234
1,13,0.05671345,0.363825677,0.132369123
2,1,0.050438482,0.398384609,0.158710296
2,2,0.057920563,0.328861258,0.108149727
2,3,0.066199051,0.349994372,0.122496061
2,4,0.002042716,0.332134613,0.110313401
2,5,0.073790113,0.37514079,0.140730612
2,6,0.019799474,0.373873676,0.139781526
2,7,0.02605445,0.340110304,0.115675019
2,8,0.026369774,0.351746126,0.123725337
2,9,0.081460497,0.33822396,0.114395447
2,10,0.037356039,0.377825539,0.142752138
2,11,0.109039276,0.36123368,0.130489772
2,12,0.057356184,0.335857592,0.112800322
2,13,0.065907767,0.360302964,0.129818226
2,14,0.08862665,0.360153114,0.129710266
2,15,0.010334758,0.367585257,0.135118921
2,16,0.054503406,0.347652548,0.120862294
2,17,0.074299735,0.346996007,0.120406229
2,18,0.03722177,0.333444241,0.111185062
3,1,0.089217431,0.381913855,0.145858193
3,2,0.028457067,0.389362714,0.151603323
3,3,0.034160668,0.348618303,0.121534721
3,4,0.112453095,0.349494203,0.122146198
3,5,0.029798607,0.36634519,0.134208798
3,6,-0.03314513,0.357780033,0.128006552
3,7,0.071837011,0.345750209,0.119543207
3,8,0.12350585,0.365732005,0.133759899
3,9,0.075444637,0.348425744,0.121400499
3,10,0.0464056,0.369903758,0.13682879
3,11,0.049765586,0.33664308,0.113328563
3,12,0.129718841,0.33373581,0.111379591
3,13,0.065365094,0.300321115,0.090192772
3,14,0.036583621,0.389996552,0.152097311
3,15,0.09364586,0.341669139,0.116737801
3,16,0.169132746,0.341221643,0.116432209
3,17,0.09445,0.343466477,0.117969221
4,1,0.038468633,0.316696541,0.100296699
4,2,0.034316713,0.377103674,0.142207181
4,3,0.105926879,0.342543734,0.11733621
4,4,0.075895493,0.363460843,0.132103784
4,5,0.109843284,0.39461406,0.155720256
4,6,0.123283129,0.368265219,0.135619272
4,7,0.085733851,0.371622505,0.138103286
4,8,0.095976602,0.33656561,0.11327641
4,9,0.036123295,0.40118907,0.16095267
4,10,0.057501635,0.375434859,0.140951334
4,11,0.072674561,0.326853137,0.106832973
4,12,0.061215705,0.339357039,0.1151632
4,13,0.094594891,0.35826237,0.128351926
4,14,0.169342105,0.422889953,0.178835912
4,15,0.054608772,0.35425322,0.125495344
4,16,0.033036533,0.342467107,0.11728372
4,17,0.135368358,0.338681701,0.114705295
5,1,-0.107645245,0.422119571,0.178184932
5,2,0.167921864,0.365083318,0.133285829
5,3,0.105271171,0.403881765,0.16312048
5,4,0.089939514,0.373440968,0.139458157
5,5,0.094415224,0.35756495,0.127852693
5,6,0.079599281,0.384108184,0.147539097
5,7,0.097495597,0.324756232,0.10546661
5,8,0.044833241,0.319031552,0.101781131
